Time [s],Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
6.370058668,0,0,0,0,0,0,0
6.370059644,1,0,0,0,0,0,0
6.370060620,0,0,0,0,0,0,0
6.370062572,1,0,0,0,0,0,0
6.370063552,0,0,0,0,0,0,0
6.370064528,1,0,0,0,0,0,0
6.370065504,0,0,0,0,0,0,0
6.370073316,1,0,0,0,0,0,0
6.370074292,0,0,0,0,0,0,0
6.370075268,1,0,0,0,0,0,0
6.370076244,0,0,0,0,0,0,0
6.370078200,1,0,0,0,0,0,0
6.370082104,0,0,0,0,0,0,0
6.370083080,1,0,0,0,0,0,0
6.370085036,0,0,0,0,0,0,0
6.370087964,1,0,0,0,0,0,0
6.370088940,0,0,0,0,0,0,0
6.370089916,1,0,0,0,0,0,0
6.370091872,0,0,0,0,0,0,0
6.370093824,1,0,0,0,0,0,0
6.370094800,0,0,0,0,0,0,0
6.370096752,1,0,0,0,0,0,0
6.370109448,0,0,0,0,0,0,0
6.370110424,1,0,0,0,0,0,0
6.370111404,0,0,0,0,0,0,0
6.370113356,1,0,0,0,0,0,0
6.370116284,0,0,0,0,0,0,0
6.370119216,1,0,0,0,0,0,0
6.370120192,0,0,0,0,0,0,0
6.370125072,1,0,0,0,0,0,0
6.370127028,0,0,0,0,0,0,0
6.370128004,1,0,0,0,0,0,0
6.370129956,0,0,0,0,0,0,0
6.370131908,1,0,0,0,0,0,0
6.371056720,0,0,0,0,0,0,0
6.371057696,1,0,0,0,0,0,0
6.371058676,0,0,0,0,0,0,0
6.371059652,1,0,0,0,0,0,0
6.371060628,0,0,0,0,0,0,0
6.371062580,1,0,0,0,0,0,0
6.371063556,0,0,0,0,0,0,0
6.371064532,1,0,0,0,0,0,0
6.371065512,0,0,0,0,0,0,0
6.371073324,1,0,0,0,0,0,0
6.371074300,0,0,0,0,0,0,0
6.371075276,1,0,0,0,0,0,0
6.371076252,0,0,0,0,0,0,0
6.371078204,1,0,0,0,0,0,0
6.371085044,0,0,0,0,0,0,0
6.371087972,1,0,0,0,0,0,0
6.371088948,0,0,0,0,0,0,0
6.371089924,1,0,0,0,0,0,0
6.371091876,0,0,0,0,0,0,0
6.371093832,1,0,0,0,0,0,0
6.371094808,0,0,0,0,0,0,0
6.371096760,1,0,0,0,0,0,0
6.371109456,0,0,0,0,0,0,0
6.371110432,1,0,0,0,0,0,0
6.371111408,0,0,0,0,0,0,0
6.371116292,1,0,0,0,0,0,0
6.371117268,0,0,0,0,0,0,0
6.371119220,1,0,0,0,0,0,0
6.371120200,0,0,0,0,0,0,0
6.371125080,1,0,0,0,0,0,0
6.371127036,0,0,0,0,0,0,0
6.371128012,1,0,0,0,0,0,0
6.371128988,0,0,0,0,0,0,0
6.371131916,1,0,0,0,0,0,0
6.372056728,0,0,0,0,0,0,0
6.372057704,1,0,0,0,0,0,0
6.372058680,0,0,0,0,0,0,0
6.372059656,1,0,0,0,0,0,0
6.372060636,0,0,0,0,0,0,0
6.372062588,1,0,0,0,0,0,0
